Episode,Round,Question,Player,Correct,Cheated,Accused,
7,1,2,Keelan,TRUE,FALSE,"Ramisa, Saskia, Indi",
7,1,2,Ramisa,TRUE,FALSE,Keelan,
7,1,2,Saskia,TRUE,TRUE,"Ramisa, Indi, Keelan",
7,1,2,Indi,FALSE,,,
7,1,3,Keelan,TRUE,FALSE,"Indi, Ramisa",
7,1,3,Ramisa,TRUE,FALSE,x,
7,1,3,Saskia,TRUE,TRUE,"Keelan, Ramisa, Indi",
7,1,3,Indi,TRUE,TRUE,"Keelan, Ramisa, Saskia",
7,1,4,Keelan,TRUE,FALSE,x,
7,1,4,Ramisa,TRUE,FALSE,Keelan,
7,1,4,Saskia,FALSE,,,
7,1,4,Indi,TRUE,TRUE,"Ramisa, Saskia",
7,2,1,Ramisa,TRUE,FALSE,x,Funny
7,2,1,Saskia,TRUE,FALSE,x,Obviously knew it
7,2,1,Indi,FALSE,,,
7,2,2,Ramisa,TRUE,FALSE,x,
7,2,2,Saskia,FALSE,,,
7,2,2,Indi,TRUE,FALSE,"Ramisa, Saskia",
7,2,3,Ramisa,TRUE,TRUE,"Saskia, Indi",
7,2,3,Saskia,TRUE,TRUE,x,
7,2,3,Indi,TRUE,TRUE,x,
7,2,4,Ramisa,TRUE,TRUE,x,
7,2,4,Saskia,TRUE,TRUE,x,
7,2,4,Indi,TRUE,TRUE,x,
8,1,1,Frazier,TRUE,FALSE,x,
8,1,1,Lisa-Jane,TRUE,TRUE,x,
8,1,1,Jess,TRUE,FALSE,Frazier,
8,1,1,T'Challa,TRUE,FALSE,x,
8,1,2,Frazier,TRUE,FALSE,"Lisa-Jane, T'Challa",
8,1,2,Lisa-Jane,TRUE,TRUE,T'Challa,
8,1,2,Jess,TRUE,TRUE,"Frazier, Lisa-Jane",
8,1,2,T'Challa,TRUE,FALSE,"Frazier, Lisa-Jane",
8,1,3,Frazier,TRUE,FALSE,T'Challa,
8,1,3,Lisa-Jane,TRUE,FALSE,x,
8,1,3,Jess,TRUE,FALSE,Lisa-Jane  ,
8,1,3,T'Challa,TRUE,TRUE,x,
8,1,4,Frazier,TRUE,FALSE,Lisa-Jane,
8,1,4,Lisa-Jane,TRUE,FALSE,"Frazier, T'Challa",
8,1,4,Jess,TRUE,FALSE,x,
8,1,4,T'Challa,TRUE,FALSE,x,
8,2,1,Frazier,TRUE,FALSE,x,
8,2,1,Jess,TRUE,TRUE,x,
8,2,1,T'Challa,TRUE,FALSE,x,
8,2,2,Frazier,TRUE,FALSE,Jess,
8,2,2,Jess,TRUE,FALSE,x,
8,2,2,T'Challa,FALSE,,,
8,2,3,Frazier,TRUE,TRUE,x,
8,2,3,Jess,TRUE,TRUE,"Frazier, T'Challa",
8,2,3,T'Challa,TRUE,TRUE,Frazier,
8,2,4,Frazier,TRUE,FALSE,x,
8,2,4,Jess,TRUE,FALSE,T'Challa,
8,2,4,T'Challa,TRUE,FALSE,x,
9,1,1,Eren,TRUE,FALSE,Reco,
9,1,1,Jeanette,TRUE,TRUE,x,
9,1,1,Becca,TRUE,FALSE,Reco,
9,1,1,Reco,TRUE,TRUE,"Eren, Jeanette",
9,1,2,Eren,TRUE,FALSE,"Jeanette, Becca",
9,1,2,Jeanette,TRUE,TRUE,"Eren, Reco",
9,1,2,Becca,TRUE,FALSE,"Eren, Jeanette",
9,1,2,Reco,TRUE,FALSE,x,
9,1,3,Eren,TRUE,FALSE,Reco,
9,1,3,Jeanette,TRUE,TRUE,Becca,
9,1,3,Becca,TRUE,TRUE,x,
9,1,3,Reco,TRUE,FALSE,Becca,
9,1,4,Eren,TRUE,TRUE,"Jeanette, Becca, Reco",
9,1,4,Jeanette,TRUE,TRUE,"Eren, Becca",
9,1,4,Becca,TRUE,FALSE,Jeanette,
9,1,4,Reco,TRUE,FALSE,Eren,
9,2,1,Eren,TRUE,FALSE,Reco,
9,2,1,Jeanette,TRUE,TRUE,"Eren, Reco",
9,2,1,Reco,TRUE,FALSE,"Reco, Jeanette",
9,2,2,Eren,TRUE,FALSE,x,
9,2,2,Jeanette,TRUE,TRUE,"Eren, Reco",
9,2,2,Reco,TRUE,FALSE,Eren,
9,2,3,Eren,TRUE,FALSE,Jeanette,
9,2,3,Jeanette,TRUE,TRUE,"Eren, Jeanette",
9,2,3,Reco,TRUE,TRUE,"Reco, Jeanette",
9,2,4,Eren,TRUE,TRUE,x,
9,2,4,Jeanette,TRUE,FALSE,Eren,
9,2,4,Reco,TRUE,TRUE,"Reco, Jeanette",
10,1,1,Natasha,TRUE,FALSE,x,
10,1,1,Success,TRUE,FALSE,Natasha,
10,1,1,Gemma,TRUE,FALSE,Natasha,
10,1,1,George,TRUE,FALSE,x,
10,1,2,Natasha,TRUE,FALSE,Success,You're too old to know about Ed Sheeran
10,1,2,Success,TRUE,TRUE,"Natasha, Gemma, George",You're too young to know about Lora Kroft
10,1,2,Gemma,TRUE,FALSE,Success,
10,1,2,George,TRUE,TRUE,"Success, Gemma",
10,1,3,Natasha,TRUE,TRUE,"Success, Gemma, George",
10,1,3,Success,TRUE,FALSE,x,
10,1,3,Gemma,TRUE,TRUE,x,
10,1,3,George,TRUE,TRUE,Gemma,
10,1,4,Natasha,TRUE,FALSE,"Success, Gemma, George",
10,1,4,Success,TRUE,FALSE,"Natasha, Gemma",
10,1,4,Gemma,TRUE,FALSE,"Success, George",
10,1,4,George,TRUE,FALSE,x,
10,2,1,Natasha,TRUE,FALSE,George,
10,2,1,Gemma,TRUE,FALSE,x,
10,2,1,George,TRUE,TRUE,Gemma,
10,2,2,Natasha,TRUE,FALSE,x,
10,2,2,Gemma,TRUE,FALSE,George,
10,2,2,George,TRUE,FALSE,x,
10,2,3,Natasha,TRUE,FALSE,x,
10,2,3,Gemma,TRUE,FALSE,x,
10,2,3,George,TRUE,FALSE,"Natasha, Gemma",
10,2,4,Natasha,TRUE,TRUE,Gemma,
10,2,4,Gemma,TRUE,FALSE,George,
10,2,4,George,TRUE,FALSE,"Natasha, Gemma",
11,1,1,Robyn,TRUE,FALSE,x,
11,1,1,Josie,TRUE,TRUE,x,
11,1,1,Zoya,TRUE,TRUE,Josie,
11,1,1,Joseph,TRUE,FALSE,x,
11,1,2,Robyn,TRUE,TRUE,x,
11,1,2,Josie,TRUE,FALSE,"Robyn, Joseph",
11,1,2,Zoya,TRUE,FALSE,x,
11,1,2,Joseph,TRUE,FALSE,"Robyn, Zoya",
11,1,3,Robyn,TRUE,FALSE,"Josie, Zoya",
11,1,3,Josie,TRUE,TRUE,Joseph,
11,1,3,Zoya,TRUE,FALSE,x,
11,1,3,Joseph,TRUE,TRUE,"Robyn, Josie, Zoya",
11,1,4,Robyn,TRUE,TRUE,Josie,
11,1,4,Josie,FALSE,,,
11,1,4,Zoya,TRUE,FALSE,Robyn,
11,1,4,Joseph,TRUE,FALSE,"Josie, Zoya",
11,2,1,Josie,TRUE,FALSE,x,
11,2,1,Zoya,TRUE,FALSE,Josie,
11,2,1,Joseph,TRUE,FALSE,Zoya,
11,2,2,Josie,TRUE,FALSE,x,
11,2,2,Zoya,TRUE,FALSE,Joseph,
11,2,2,Joseph,TRUE,FALSE,x,
11,2,3,Josie,FALSE,,,
11,2,3,Zoya,TRUE,FALSE,Josie,
11,2,3,Joseph,TRUE,FALSE,x,
11,2,4,Josie,TRUE,TRUE,Zoya,
11,2,4,Zoya,TRUE,FALSE,x,
11,2,4,Joseph,TRUE,TRUE,Zoya,
12,1,1,Leon,TRUE,FALSE,x,
12,1,1,Loren,TRUE,FALSE,x,
12,1,1,Alex,TRUE,FALSE,x,
12,1,1,Aaron,TRUE,FALSE,x,
12,1,2,Leon,TRUE,FALSE,Loren,
12,1,2,Loren,TRUE,TRUE,"Alex, Aaron",
12,1,2,Alex,TRUE,FALSE,x,
12,1,2,Aaron,TRUE,TRUE,x,
12,1,3,Leon,TRUE,TRUE,Loren,
12,1,3,Loren,TRUE,TRUE,"Leon, Aaron",
12,1,3,Alex,TRUE,TRUE,x,
12,1,3,Aaron,FALSE,,,
12,1,4,Leon,TRUE,TRUE,Alex,
12,1,4,Loren,FALSE,,,
12,1,4,Alex,TRUE,FALSE,Loren,
12,1,4,Aaron,TRUE,FALSE,x,
12,2,1,Loren,TRUE,FALSE,x,
12,2,1,Alex,TRUE,TRUE,x,
12,2,1,Aaron,TRUE,TRUE,Alex,
12,2,2,Loren,FALSE,,,
12,2,2,Alex,TRUE,TRUE,Loren,
12,2,2,Aaron,TRUE,TRUE,x,
12,2,3,Loren,TRUE,TRUE,Aaron,
12,2,3,Alex,TRUE,FALSE,Loren,
12,2,3,Aaron,TRUE,TRUE,"Loren, Alex",
12,2,4,Loren,TRUE,TRUE,"Alex, Aaron",
12,2,4,Alex,TRUE,TRUE,"Loren, Aaron",
12,2,4,Aaron,TRUE,TRUE,Alex,
